order_id,order_date,customer_id,product_name,category,quantity,unit_price,discount_pct,total_amount,region,channel,order_status
ORD-001734,2024-01-01,CUST-01264,Kitchen Scale,Home & Kitchen,1,34.7,0,34.7,East,Mobile App,Completed
ORD-001058,2024-01-01,CUST-00913,Baseball Cap,Clothing,1,27.71,15,23.55,International,Website,Completed
ORD-003184,2024-01-01,CUST-00155,Sheet Mask Pack,Beauty,1,15.3,0,15.3,South,Website,Refunded
ORD-002302,2024-01-01,CUST-00909,Phone Case,Electronics,1,26.82,20,21.46,Midwest,Website,Completed
ORD-000028,2024-01-01,CUST-00532,Plant Pot,Home & Kitchen,2,17.89,10,32.2,West,Website,Completed
ORD-002991,2024-01-01,CUST-01091,Coffee Mug Set,Home & Kitchen,1,26.32,0,26.32,West,Website,Completed
ORD-003224,2024-01-01,CUST-01465,Running Shoes,Clothing,1,102.11,0,102.11,West,Website,Completed
ORD-000025,2024-01-01,CUST-00035,Throw Blanket,Home & Kitchen,1,56.84,0,56.84,West,Website,Refunded
ORD-002731,2024-01-01,CUST-01905,Winter Jacket,Clothing,2,125.55,5,238.54,East,Mobile App,Cancelled
ORD-002968,2024-01-01,CUST-01098,Cotton T-Shirt,Clothing,1,20.06,25,15.05,West,Email,Completed
ORD-000987,2024-01-01,CUST-00972,Scented Candle,Home & Kitchen,1,17.84,0,17.84,Midwest,Mobile App,Refunded
ORD-003076,2024-01-01,CUST-00367,Phone Case,Electronics,1,23.92,0,23.92,South,Social Media,Completed
ORD-003022,2024-01-01,CUST-01728,Kitchen Scale,Home & Kitchen,1,21.75,10,19.58,East,Social Media,Refunded
ORD-002327,2024-01-01,CUST-01501,Running Shoes,Clothing,1,85.25,0,85.25,International,Social Media,Completed
ORD-002531,2024-01-01,CUST-00951,USB-C Cable,Electronics,1,12.44,0,12.44,East,Mobile App,Completed
ORD-003145,2024-01-01,CUST-00279,Hair Oil,Beauty,1,21.26,0,21.26,Midwest,Mobile App,Cancelled
ORD-001125,2024-01-01,CUST-01890,Plant Pot,Home & Kitchen,2,24.17,0,48.34,West,Social Media,Completed
ORD-002839,2024-01-01,CUST-00532,Baseball Cap,Clothing,1,21.46,0,21.46,South,Email,Completed
